"","Pos","Team","Pts","year"
"1",1,"Vanwall",48,1958
"2",2,"Ferrari",40,1958
"3",3,"Cooper Climax",31,1958
"4",4,"BRM",18,1958
"5",5,"Maserati",6,1958
"6",6,"Lotus Climax",3,1958
"7",1,"Cooper Climax",40,1959
"8",2,"Ferrari",32,1959
"9",3,"BRM",18,1959
"10",4,"Lotus Climax",5,1959
"11",1,"Cooper Climax",48,1960
"12",2,"Lotus Climax",34,1960
"13",3,"Ferrari",26,1960
"14",4,"BRM",8,1960
"15",5,"Cooper Maserati",3,1960
"16",6,"Cooper Castellotti",3,1960
"17",1,"Ferrari",40,1961
"18",2,"Lotus Climax",32,1961
"19",3,"Porsche",22,1961
"20",4,"Cooper Climax",14,1961
"21",5,"BRM Climax",7,1961
"22",1,"BRM",42,1962
"23",2,"Lotus Climax",36,1962
"24",3,"Cooper Climax",29,1962
"25",4,"Lola Climax",19,1962
"26",5,"Porsche",18,1962
"27",6,"Ferrari",18,1962
"28",7,"Brabham Climax",6,1962
"29",8,"Lotus BRM",1,1962
"30",1,"Lotus Climax",54,1963
"31",2,"BRM",36,1963
"32",3,"Brabham Climax",28,1963
"33",4,"Ferrari",26,1963
"34",5,"Cooper Climax",25,1963
"35",6,"BRP BRM",6,1963
"36",7,"Porsche",5,1963
"37",8,"Lotus BRM",4,1963
"38",1,"Ferrari",45,1964
"39",2,"BRM",42,1964
"40",3,"Lotus Climax",37,1964
"41",4,"Brabham Climax",30,1964
"42",5,"Cooper Climax",16,1964
"43",6,"Brabham BRM",7,1964
"44",7,"BRP BRM",5,1964
"45",8,"Lotus BRM",3,1964
"46",1,"Lotus Climax",54,1965
"47",2,"BRM",45,1965
"48",3,"Brabham Climax",27,1965
"49",4,"Ferrari",26,1965
"50",5,"Cooper Climax",14,1965
"51",6,"Honda",11,1965
"52",7,"Brabham BRM",5,1965
"53",8,"Lotus BRM",2,1965
"54",1,"Brabham Repco",42,1966
"55",2,"Ferrari",31,1966
"56",3,"Cooper Maserati",30,1966
"57",4,"BRM",22,1966
"58",5,"Lotus BRM",13,1966
"59",6,"Lotus Climax",8,1966
"60",7,"Eagle Climax",4,1966
"61",8,"Honda",3,1966
"62",9,"McLaren Ford",2,1966
"63",10,"Brabham BRM",1,1966
"64",11,"McLaren Serenissima",1,1966
"65",12,"Brabham Climax",1,1966
"66",1,"Brabham Repco",63,1967
"67",2,"Lotus Ford",44,1967
"68",3,"Cooper Maserati",28,1967
"69",4,"Honda",20,1967
"70",5,"Ferrari",20,1967
"71",6,"BRM",17,1967
"72",7,"Eagle Weslake",13,1967
"73",8,"Cooper Climax",6,1967
"74",9,"Lotus BRM",6,1967
"75",10,"McLaren BRM",3,1967
"76",11,"Brabham Climax",2,1967
"77",1,"Lotus Ford",62,1968
"78",2,"McLaren Ford",49,1968
"79",3,"Matra Ford",45,1968
"80",4,"Ferrari",32,1968
"81",5,"BRM",28,1968
"82",6,"Honda",14,1968
"83",7,"Cooper BRM",14,1968
"84",8,"Brabham Repco",10,1968
"85",9,"Matra",8,1968
"86",10,"Mclaren BRM",3,1968
"87",1,"Matra Ford",66,1969
"88",2,"Brabham Ford",49,1969
"89",3,"Lotus Ford",47,1969
"90",4,"McLaren Ford",38,1969
"91",5,"Ferrari",7,1969
"92",6,"BRM",7,1969
"93",1,"Lotus Ford",59,1970
"94",2,"Ferrari",52,1970
"95",3,"March Ford",48,1970
"96",4,"Brabham Ford",35,1970
"97",5,"McLaren Ford",35,1970
"98",6,"BRM",23,1970
"99",7,"Matra",23,1970
"100",8,"Surtees Ford",3,1970
"101",1,"Tyrrell Ford",73,1971
"102",2,"BRM",36,1971
"103",3,"Ferrari",33,1971
"104",4,"March Ford",33,1971
"105",5,"Lotus Ford",21,1971
"106",6,"McLaren Ford",10,1971
"107",7,"Matra",9,1971
"108",8,"Surtees Ford",8,1971
"109",9,"Brabham Ford",5,1971
"110",1,"Lotus Ford",61,1972
"111",2,"Tyrrell Ford",51,1972
"112",3,"McLaren Ford",47,1972
"113",4,"Ferrari",33,1972
"114",5,"Surtees Ford",18,1972
"115",6,"March Ford",15,1972
"116",7,"BRM",14,1972
"117",8,"Matra",12,1972
"118",9,"Brabham Ford",7,1972
"119",1,"Lotus Ford",92,1973
"120",2,"Tyrrell Ford",82,1973
"121",3,"McLaren Ford",58,1973
"122",4,"Brabham Ford",22,1973
"123",5,"March Ford",14,1973
"124",6,"Ferrari",12,1973
"125",7,"BRM",12,1973
"126",8,"Shadow Ford",9,1973
"127",9,"Surtees Ford",7,1973
"128",10,"Iso Marlboro Ford",2,1973
"129",11,"Tecno",1,1973
"130",1,"McLaren Ford",73,1974
"131",2,"Ferrari",65,1974
"132",3,"Tyrrell Ford",52,1974
"133",4,"Lotus Ford",42,1974
"134",5,"Brabham Ford",35,1974
"135",6,"Hesketh Ford",15,1974
"136",7,"BRM",10,1974
"137",8,"Shadow Ford",7,1974
"138",9,"March Ford",6,1974
"139",10,"Iso Marlboro Ford",4,1974
"140",11,"Surtees Ford",3,1974
"141",12,"Lola Ford",1,1974
"142",1,"Ferrari",72,1975
"143",2,"Brabham Ford",54,1975
"144",3,"McLaren Ford",53,1975
"145",4,"Hesketh Ford",33,1975
"146",5,"Tyrrell Ford",25,1975
"147",6,"Shadow Ford",9,1975
"148",7,"Lotus Ford",9,1975
"149",8,"March Ford",7,1975
"150",9,"Frank Williams Racing Cars/Williams",6,1975
"151",10,"Parnelli Ford",5,1975
"152",11,"Hill Ford",3,1975
"153",12,"Penske Ford",2,1975
"154",13,"Ensign Ford",1,1975
"155",1,"Ferrari",83,1976
"156",2,"McLaren Ford",74,1976
"157",3,"Tyrrell Ford",71,1976
"158",4,"Lotus Ford",29,1976
"159",5,"Penske Ford",20,1976
"160",6,"Ligier Matra",20,1976
"161",7,"March Ford",19,1976
"162",8,"Shadow Ford",10,1976
"163",9,"Brabham Alfa Romeo",9,1976
"164",10,"Surtees Ford",7,1976
"165",11,"Fittipaldi Ford",3,1976
"166",12,"Ensign Ford",2,1976
"167",13,"Parnelli Ford",1,1976
"168",1,"Ferrari",95,1977
"169",2,"Lotus Ford",62,1977
"170",3,"McLaren Ford",60,1977
"171",4,"Wolf Ford",55,1977
"172",5,"Brabham Alfa Romeo",27,1977
"173",6,"Tyrrell Ford",27,1977
"174",7,"Shadow Ford",23,1977
"175",8,"Ligier Matra",18,1977
"176",9,"Fittipaldi Ford",11,1977
"177",10,"Ensign Ford",10,1977
"178",11,"Surtees Ford",6,1977
"179",12,"Penske Ford",1,1977
"180",1,"Lotus Ford",86,1978
"181",2,"Ferrari",58,1978
"182",3,"Brabham Alfa Romeo",53,1978
"183",4,"Tyrrell Ford",38,1978
"184",5,"Wolf Ford",24,1978
"185",6,"Ligier Matra",19,1978
"186",7,"Fittipaldi Ford",17,1978
"187",8,"McLaren Ford",15,1978
"188",9,"Williams Ford",11,1978
"189",10,"Arrows Ford",11,1978
"190",11,"Shadow Ford",6,1978
"191",12,"Renault",3,1978
"192",13,"Surtees Ford",1,1978
"193",14,"Ensign Ford",1,1978
"194",1,"Ferrari",113,1979
"195",2,"Williams Ford",75,1979
"196",3,"Ligier Ford",61,1979
"197",4,"Lotus Ford",39,1979
"198",5,"Tyrrell Ford",28,1979
"199",6,"Renault",26,1979
"200",7,"McLaren Ford",15,1979
"201",8,"Brabham Ford",7,1979
"202",9,"Arrows Ford",5,1979
"203",10,"Shadow Ford",3,1979
"204",11,"ATS Ford",2,1979
"205",12,"Fittipaldi Ford",1,1979
"206",1,"Williams Ford",120,1980
"207",2,"Ligier Ford",66,1980
"208",3,"Brabham Ford",55,1980
"209",4,"Renault",38,1980
"210",5,"Lotus Ford",14,1980
"211",6,"Tyrrell Ford",12,1980
"212",7,"Arrows Ford",11,1980
"213",8,"Fittipaldi Ford",11,1980
"214",9,"McLaren Ford",11,1980
"215",10,"Ferrari",8,1980
"216",11,"Alfa Romeo",4,1980
"217",1,"Williams Ford",95,1981
"218",2,"Brabham Ford",61,1981
"219",3,"Renault",54,1981
"220",4,"Ligier Matra",44,1981
"221",5,"Ferrari",34,1981
"222",6,"McLaren Ford",28,1981
"223",7,"Lotus Ford",22,1981
"224",8,"Arrows Ford",10,1981
"225",9,"Alfa Romeo",10,1981
"226",10,"Tyrrell Ford",10,1981
"227",11,"Ensign Ford",5,1981
"228",12,"Theodore Ford",1,1981
"229",13,"ATS Ford",1,1981
"230",1,"Ferrari",74,1982
"231",2,"McLaren Ford",69,1982
"232",3,"Renault",62,1982
"233",4,"Williams Ford",58,1982
"234",5,"Lotus Ford",30,1982
"235",6,"Tyrrell Ford",25,1982
"236",7,"Brabham BMW",22,1982
"237",8,"Ligier Matra",20,1982
"238",9,"Brabham Ford",19,1982
"239",10,"Alfa Romeo",7,1982
"240",11,"Arrows Ford",5,1982
"241",12,"ATS Ford",4,1982
"242",13,"Osella Ford",3,1982
"243",14,"Fittipaldi Ford",1,1982
"244",1,"Ferrari",89,1983
"245",2,"Renault",79,1983
"246",3,"Brabham BMW",72,1983
"247",4,"Williams Ford",36,1983
"248",5,"McLaren Ford",34,1983
"249",6,"Alfa Romeo",18,1983
"250",7,"Tyrrell Ford",12,1983
"251",8,"Lotus Renault",11,1983
"252",9,"Toleman Hart",10,1983
"253",10,"Arrows Ford",4,1983
"254",11,"Williams Honda",2,1983
"255",12,"Theodore Ford",1,1983
"256",13,"Lotus Ford",1,1983
"257",1,"McLaren TAG",143,1984
"258",2,"Ferrari",57,1984
"259",3,"Lotus Renault",47,1984
"260",4,"Brabham BMW",38,1984
"261",5,"Renault",34,1984
"262",6,"Williams Honda",25,1984
"263",7,"Toleman Hart",16,1984
"264",8,"Alfa Romeo",11,1984
"265",9,"Arrows BMW",3,1984
"266",10,"Ligier Renault",3,1984
"267",11,"Arrows Ford",3,1984
"268",12,"Osella Alfa Romeo",2,1984
"269",1,"McLaren TAG",90,1985
"270",2,"Ferrari",82,1985
"271",3,"Lotus Renault",71,1985
"272",4,"Williams Honda",71,1985
"273",5,"Brabham BMW",26,1985
"274",6,"Ligier Renault",23,1985
"275",7,"Renault",16,1985
"276",8,"Arrows BMW",14,1985
"277",9,"Tyrrell Ford",4,1985
"278",10,"Tyrrell Renault",3,1985
"279",1,"Williams Honda",141,1986
"280",2,"McLaren TAG",96,1986
"281",3,"Lotus Renault",58,1986
"282",4,"Ferrari",37,1986
"283",5,"Ligier Renault",29,1986
"284",6,"Benetton BMW",19,1986
"285",7,"Tyrrell Renault",11,1986
"286",8,"Lola Ford",6,1986
"287",9,"Brabham BMW",2,1986
"288",10,"Arrows BMW",1,1986
"289",1,"Williams Honda",137,1987
"290",2,"McLaren TAG",76,1987
"291",3,"Lotus Honda",64,1987
"292",4,"Ferrari",53,1987
"293",5,"Benetton Ford",28,1987
"294",6,"Tyrrell Ford",11,1987
"295",7,"Arrows Megatron",11,1987
"296",8,"Brabham BMW",10,1987
"297",9,"Lola Ford",3,1987
"298",10,"Zakspeed",2,1987
"299",11,"March Ford",1,1987
"300",12,"Ligier Megatron",1,1987
"301",13,"AGS Ford",1,1987
"302",1,"McLaren Honda",199,1988
"303",2,"Ferrari",65,1988
"304",3,"Benetton Ford",39,1988
"305",4,"Arrows Megatron",23,1988
"306",5,"Lotus Honda",23,1988
"307",6,"March Judd",22,1988
"308",7,"Williams Judd",20,1988
"309",8,"Tyrrell Ford",5,1988
"310",9,"Rial Ford",3,1988
"311",10,"Minardi Ford",1,1988
"312",1,"McLaren Honda",141,1989
"313",2,"Williams Renault",77,1989
"314",3,"Ferrari",59,1989
"315",4,"Benetton Ford",39,1989
"316",5,"Tyrrell Ford",16,1989
"317",6,"Lotus Judd",15,1989
"318",7,"Arrows Ford",13,1989
"319",8,"Dallara Ford",8,1989
"320",9,"Brabham Judd",8,1989
"321",10,"Onyx Ford",6,1989
"322",11,"Minardi Ford",6,1989
"323",12,"March Judd",4,1989
"324",13,"Rial Ford",3,1989
"325",14,"Ligier Ford",3,1989
"326",15,"AGS Ford",1,1989
"327",16,"Lola Lamborghini",1,1989
"328",1,"McLaren Honda",121,1990
"329",2,"Ferrari",110,1990
"330",3,"Benetton Ford",71,1990
"331",4,"Williams Renault",57,1990
"332",5,"Tyrrell Ford",16,1990
"333",6,"Lola Lamborghini",11,1990
"334",7,"Leyton House Judd",7,1990
"335",8,"Lotus Lamborghini",3,1990
"336",9,"Arrows Ford",2,1990
"337",10,"Brabham Judd",2,1990
"338",1,"McLaren Honda",139,1991
"339",2,"Williams Renault",125,1991
"340",3,"Ferrari",55,1991
"341",4,"Benetton Ford",38,1991
"342",5,"Jordan Ford",13,1991
"343",6,"Tyrrell Honda",12,1991
"344",7,"Minardi Ferrari",6,1991
"345",8,"Dallara Judd",5,1991
"346",9,"Lotus Judd",3,1991
"347",10,"Brabham Yamaha",3,1991
"348",11,"Lola Ford",2,1991
"349",12,"Leyton House Ilmor",1,1991
"350",1,"Williams Renault",164,1992
"351",2,"McLaren Honda",99,1992
"352",3,"Benetton Ford",91,1992
"353",4,"Ferrari",21,1992
"354",5,"Lotus Ford",13,1992
"355",6,"Tyrrell Ilmor",8,1992
"356",7,"Footwork Mugen Honda",6,1992
"357",8,"Ligier Renault",6,1992
"358",9,"March Ilmor",3,1992
"359",10,"Dallara Ferrari",2,1992
"360",11,"Jordan Yamaha",1,1992
"361",12,"Minardi Lamborghini",1,1992
"362",13,"Venturi Lamborghini",1,1992
"363",1,"Williams Renault",168,1993
"364",2,"McLaren Ford",84,1993
"365",3,"Benetton Ford",72,1993
"366",4,"Ferrari",28,1993
"367",5,"Ligier Renault",23,1993
"368",6,"Lotus Ford",12,1993
"369",7,"Sauber",12,1993
"370",8,"Minardi Ford",7,1993
"371",9,"Footwork Mugen Honda",4,1993
"372",10,"Larrousse Lamborghini",3,1993
"373",11,"Jordan Hart",3,1993
"374",1,"Williams Renault",118,1994
"375",2,"Benetton Ford",103,1994
"376",3,"Ferrari",71,1994
"377",4,"McLaren Peugeot",42,1994
"378",5,"Jordan Hart",28,1994
"379",6,"Ligier Renault",13,1994
"380",7,"Tyrrell Yamaha",13,1994
"381",8,"Sauber Mercedes",12,1994
"382",9,"Footwork Ford",9,1994
"383",10,"Minardi Ford",5,1994
"384",11,"Larrousse Ford",2,1994
"385",1,"Benetton Renault",137,1995
"386",2,"Williams Renault",112,1995
"387",3,"Ferrari",73,1995
"388",4,"McLaren Mercedes",30,1995
"389",5,"Ligier Mugen Honda",24,1995
"390",6,"Jordan Peugeot",21,1995
"391",7,"Sauber Ford",18,1995
"392",8,"Footwork Hart",5,1995
"393",9,"Tyrrell Yamaha",5,1995
"394",10,"Minardi Ford",1,1995
"395",1,"Williams Renault",175,1996
"396",2,"Ferrari",70,1996
"397",3,"Benetton Renault",68,1996
"398",4,"McLaren Mercedes",49,1996
"399",5,"Jordan Peugeot",22,1996
"400",6,"Ligier Mugen Honda",15,1996
"401",7,"Sauber Ford",11,1996
"402",8,"Tyrrell Yamaha",5,1996
"403",9,"Footwork Hart",1,1996
"404",1,"Williams Renault",123,1997
"405",2,"Ferrari",102,1997
"406",3,"Benetton Renault",67,1997
"407",4,"McLaren Mercedes",63,1997
"408",5,"Jordan Peugeot",33,1997
"409",6,"Prost Mugen Honda",21,1997
"410",7,"Sauber Petronas",16,1997
"411",8,"Arrows Yamaha",9,1997
"412",9,"Stewart Ford",6,1997
"413",10,"Tyrrell Ford",2,1997
"414",1,"McLaren Mercedes",156,1998
"415",2,"Ferrari",133,1998
"416",3,"Williams Mecachrome",38,1998
"417",4,"Jordan Mugen Honda",34,1998
"418",5,"Benetton Playlife",33,1998
"419",6,"Sauber Petronas",10,1998
"420",7,"Arrows",6,1998
"421",8,"Stewart Ford",5,1998
"422",9,"Prost Peugeot",1,1998
"423",1,"Ferrari",128,1999
"424",2,"McLaren Mercedes",124,1999
"425",3,"Jordan Mugen Honda",61,1999
"426",4,"Stewart Ford",36,1999
"427",5,"Williams Supertec",35,1999
"428",6,"Benetton Playlife",16,1999
"429",7,"Prost Peugeot",9,1999
"430",8,"Sauber Petronas",5,1999
"431",9,"Minardi Ford",1,1999
"432",10,"Arrows",1,1999
"433",1,"Ferrari",170,2000
"434",2,"McLaren Mercedes",152,2000
"435",3,"Williams BMW",36,2000
"436",4,"Benetton Playlife",20,2000
"437",5,"BAR Honda",20,2000
"438",6,"Jordan Mugen Honda",17,2000
"439",7,"Arrows Supertec",7,2000
"440",8,"Sauber Petronas",6,2000
"441",9,"Jaguar Cosworth",4,2000
"442",1,"Ferrari",179,2001
"443",2,"McLaren Mercedes",102,2001
"444",3,"Williams BMW",80,2001
"445",4,"Sauber Petronas",21,2001
"446",5,"Jordan Honda",19,2001
"447",6,"BAR Honda",17,2001
"448",7,"Benetton Renault",10,2001
"449",8,"Jaguar Cosworth",9,2001
"450",9,"Prost Acer",4,2001
"451",10,"Arrows Asiatech",1,2001
"452",1,"Ferrari",221,2002
"453",2,"Williams BMW",92,2002
"454",3,"McLaren Mercedes",65,2002
"455",4,"Renault",23,2002
"456",5,"Sauber Petronas",11,2002
"457",6,"Jordan Honda",9,2002
"458",7,"Jaguar Cosworth",8,2002
"459",8,"BAR Honda",7,2002
"460",9,"Minardi Asiatech",2,2002
"461",10,"Toyota",2,2002
"462",11,"Arrows Cosworth",2,2002
"463",1,"Ferrari",158,2003
"464",2,"Williams BMW",144,2003
"465",3,"McLaren Mercedes",142,2003
"466",4,"Renault",88,2003
"467",5,"BAR Honda",26,2003
"468",6,"Sauber Petronas",19,2003
"469",7,"Jaguar Cosworth",18,2003
"470",8,"Toyota",16,2003
"471",9,"Jordan Ford",13,2003
"472",10,"Minardi Cosworth",0,2003
"473",1,"Ferrari",262,2004
"474",2,"BAR Honda",119,2004
"475",3,"Renault",105,2004
"476",4,"Williams BMW",88,2004
"477",5,"McLaren Mercedes",69,2004
"478",6,"Sauber Petronas",34,2004
"479",7,"Jaguar Cosworth",10,2004
"480",8,"Toyota",9,2004
"481",9,"Jordan Ford",5,2004
"482",10,"Minardi Cosworth",1,2004
"483",1,"Renault",191,2005
"484",2,"McLaren Mercedes",182,2005
"485",3,"Ferrari",100,2005
"486",4,"Toyota",88,2005
"487",5,"Williams BMW",66,2005
"488",6,"BAR Honda",38,2005
"489",7,"RBR Cosworth",34,2005
"490",8,"Sauber Petronas",20,2005
"491",9,"Jordan Toyota",12,2005
"492",10,"Minardi Cosworth",7,2005
"493",1,"Renault",206,2006
"494",2,"Ferrari",201,2006
"495",3,"McLaren Mercedes",110,2006
"496",4,"Honda",86,2006
"497",5,"Sauber BMW",36,2006
"498",6,"Toyota",35,2006
"499",7,"RBR Ferrari",16,2006
"500",8,"Williams Cosworth",11,2006
"501",9,"STR Cosworth",1,2006
"502",10,"MF1 Toyota",0,2006
"503",11,"Super Aguri Honda",0,2006
"504",1,"Ferrari",204,2007
"505",2,"Sauber BMW",101,2007
"506",3,"Renault",51,2007
"507",4,"Williams Toyota",33,2007
"508",5,"Red Bull Renault",24,2007
"509",6,"Toyota",13,2007
"510",7,"STR Ferrari",8,2007
"511",8,"Honda",6,2007
"512",9,"Super Aguri Honda",4,2007
"513",10,"Spyker Ferrari",1,2007
"514",NA,"McLaren Mercedes",0,2007
"515",1,"Ferrari",172,2008
"516",2,"McLaren Mercedes",151,2008
"517",3,"Sauber BMW",135,2008
"518",4,"Renault",80,2008
"519",5,"Toyota",56,2008
"520",6,"STR Ferrari",39,2008
"521",7,"Red Bull Renault",29,2008
"522",8,"Williams Toyota",26,2008
"523",9,"Honda",14,2008
"524",10,"Force India Ferrari",0,2008
"525",11,"Super Aguri Honda",0,2008
"526",1,"Brawn Mercedes",172,2009
"527",2,"RBR Renault",153,2009
"528",3,"McLaren Mercedes",71,2009
"529",4,"Ferrari",70,2009
"530",5,"Toyota",59,2009
"531",6,"Sauber BMW",36,2009
"532",7,"Williams Toyota",34,2009
"533",8,"Renault",26,2009
"534",9,"Force India Mercedes",13,2009
"535",10,"STR Ferrari",8,2009
"536",1,"RBR Renault",498,2010
"537",2,"McLaren Mercedes",454,2010
"538",3,"Ferrari",396,2010
"539",4,"Mercedes",214,2010
"540",5,"Renault",163,2010
"541",6,"Williams Cosworth",69,2010
"542",7,"Force India Mercedes",68,2010
"543",8,"Sauber Ferrari",44,2010
"544",9,"STR Ferrari",13,2010
"545",10,"Lotus Cosworth",0,2010
"546",11,"HRT Cosworth",0,2010
"547",12,"Virgin Cosworth",0,2010
"548",1,"Red Bull Racing Renault",650,2011
"549",2,"McLaren Mercedes",497,2011
"550",3,"Ferrari",375,2011
"551",4,"Mercedes",165,2011
"552",5,"Renault",73,2011
"553",6,"Force India Mercedes",69,2011
"554",7,"Sauber Ferrari",44,2011
"555",8,"STR Ferrari",41,2011
"556",9,"Williams Cosworth",5,2011
"557",10,"Lotus Renault",0,2011
"558",11,"HRT Cosworth",0,2011
"559",12,"Virgin Cosworth",0,2011
"560",1,"Red Bull Racing Renault",460,2012
"561",2,"Ferrari",400,2012
"562",3,"McLaren Mercedes",378,2012
"563",4,"Lotus Renault",303,2012
"564",5,"Mercedes",142,2012
"565",6,"Sauber Ferrari",126,2012
"566",7,"Force India Mercedes",109,2012
"567",8,"Williams Renault",76,2012
"568",9,"STR Ferrari",26,2012
"569",10,"Caterham Renault",0,2012
"570",11,"Marussia Cosworth",0,2012
"571",12,"HRT Cosworth",0,2012
"572",1,"Red Bull Racing Renault",596,2013
"573",2,"Mercedes",360,2013
"574",3,"Ferrari",354,2013
"575",4,"Lotus Renault",315,2013
"576",5,"McLaren Mercedes",122,2013
"577",6,"Force India Mercedes",77,2013
"578",7,"Sauber Ferrari",57,2013
"579",8,"STR Ferrari",33,2013
"580",9,"Williams Renault",5,2013
"581",10,"Marussia Cosworth",0,2013
"582",11,"Caterham Renault",0,2013
"583",1,"Mercedes",701,2014
"584",2,"Red Bull Racing Renault",405,2014
"585",3,"Williams Mercedes",320,2014
"586",4,"Ferrari",216,2014
"587",5,"McLaren Mercedes",181,2014
"588",6,"Force India Mercedes",155,2014
"589",7,"STR Renault",30,2014
"590",8,"Lotus Renault",10,2014
"591",9,"Marussia Ferrari",2,2014
"592",10,"Sauber Ferrari",0,2014
"593",11,"Caterham Renault",0,2014
"594",1,"Mercedes",703,2015
"595",2,"Ferrari",428,2015
"596",3,"Williams Mercedes",257,2015
"597",4,"Red Bull Racing Renault",187,2015
"598",5,"Force India Mercedes",136,2015
"599",6,"Lotus Mercedes",78,2015
"600",7,"STR Renault",67,2015
"601",8,"Sauber Ferrari",36,2015
"602",9,"McLaren Honda",27,2015
"603",10,"Marussia Ferrari",0,2015
"604",1,"Mercedes",765,2016
"605",2,"Red Bull Racing TAG Heuer",468,2016
"606",3,"Ferrari",398,2016
"607",4,"Force India Mercedes",173,2016
"608",5,"Williams Mercedes",138,2016
"609",6,"McLaren Honda",76,2016
"610",7,"Toro Rosso Ferrari",63,2016
"611",8,"Haas Ferrari",29,2016
"612",9,"Renault",8,2016
"613",10,"Sauber Ferrari",2,2016
"614",11,"MRT Mercedes",1,2016
"615",1,"Mercedes",668,2017
"616",2,"Ferrari",522,2017
"617",3,"Red Bull Racing TAG Heuer",368,2017
"618",4,"Force India Mercedes",187,2017
"619",5,"Williams Mercedes",83,2017
"620",6,"Renault",57,2017
"621",7,"Toro Rosso",53,2017
"622",8,"Haas Ferrari",47,2017
"623",9,"McLaren Honda",30,2017
"624",10,"Sauber Ferrari",5,2017
"625",1,"Mercedes",655,2018
"626",2,"Ferrari",571,2018
"627",3,"Red Bull Racing TAG Heuer",419,2018
"628",4,"Renault",122,2018
"629",5,"Haas Ferrari",93,2018
"630",6,"McLaren Renault",62,2018
"631",7,"Force India Mercedes",52,2018
"632",8,"Sauber Ferrari",48,2018
"633",9,"Scuderia Toro Rosso Honda",33,2018
"634",10,"Williams Mercedes",7,2018
"635",NA,"Force India Sahara",0,2018
"636",1,"Mercedes",739,2019
"637",2,"Ferrari",504,2019
"638",3,"Red Bull Racing Honda",417,2019
"639",4,"McLaren Renault",145,2019
"640",5,"Renault",91,2019
"641",6,"Scuderia Toro Rosso Honda",85,2019
"642",7,"Racing Point BWT Mercedes",73,2019
"643",8,"Alfa Romeo Racing Ferrari",57,2019
"644",9,"Haas Ferrari",28,2019
"645",10,"Williams Mercedes",1,2019
"646",1,"Mercedes",573,2020
"647",2,"Red Bull Racing Honda",319,2020
"648",3,"McLaren Renault",202,2020
"649",4,"Racing Point BWT Mercedes",195,2020
"650",5,"Renault",181,2020
"651",6,"Ferrari",131,2020
"652",7,"AlphaTauri Honda",107,2020
"653",8,"Alfa Romeo Racing Ferrari",8,2020
"654",9,"Haas Ferrari",3,2020
"655",10,"Williams Mercedes",0,2020
"656",1,"Mercedes",41,2021
"657",2,"Red Bull Racing Honda",28,2021
"658",3,"McLaren Mercedes",18,2021
"659",4,"Ferrari",12,2021
"660",5,"AlphaTauri Honda",2,2021
"661",6,"Aston Martin Mercedes",1,2021
"662",7,"Alfa Romeo Racing Ferrari",0,2021
"663",8,"Alpine Renault",0,2021
"664",9,"Williams Mercedes",0,2021
"665",10,"Haas Ferrari",0,2021
